Undefined,1950,JASA,2.99999
Undefined,1952,JASA,1.99999
Flat,1953,JASA,1
Flat,1954,JASA,4
Undefined,1954,JASA,1
Undefined,1955,JASA,2
Flat,1956,JASA,1.66666
Undefined,1956,JASA,0.33333
Undefined,1957,JASA,4
Flat,1958,JASA,1
Flat,1959,JASA,1.00004
Undefined,1959,JASA,2
Click/Click Train,1960,JASA,1
Flat,1960,JASA,5.5
Undefined,1960,JASA,0.50001
Musical Instrument,1961,JASA,4
Undefined,1961,JASA,1
Click/Click Train,1963,JASA,0.33335
Undefined,1963,JASA,0.66666
Flat,1964,JASA,0.5
Undefined,1964,JASA,5.49989
Undefined,1965,JASA,1
Undefined,1966,APP,2.999999998
Flat,1966,JASA,0.5
Undefined,1966,JASA,1.50001
Click/Click Train,1967,APP,1
Undefined,1967,APP,1.999999998
Flat,1967,JASA,1
Flat,1968,APP,1
Undefined,1968,APP,1
Undefined,1968,JASA,3.99998
Flat,1969,APP,2
Undefined,1969,APP,3
Flat,1969,JASA,1.4996
Undefined,1969,JASA,1.5
Undefined,1970,APP,3
Flat,1970,JASA,3
Click/Click Train,1971,APP,1
Flat,1971,APP,0.666666666
Undefined,1971,APP,2.333333333
Flat,1971,JASA,1.5
Undefined,1971,JASA,1.5
Undefined,1972,APP,6
Flat,1972,JASA,0.5
Undefined,1972,JASA,0.50001
Flat,1973,APP,2.333333334
Undefined,1973,APP,0.666666666
Flat,1973,JASA,1
Undefined,1973,JASA,0.99998
Musical Instrument,1974,APP,1
Undefined,1974,APP,1.000000001
Flat,1974,JASA,2.00001
Undefined,1974,JASA,1
Flat,1975,APP,1
Undefined,1975,APP,1
Click/Click Train,1975,JEP,0.25
Flat,1975,JEP,1.75
Undefined,1975,JEP,2
Undefined,1975,JASA,3.99998
Undefined,1976,APP,4
Flat,1976,JEP,6
Undefined,1976,JEP,1.000014
Flat,1976,JASA,0.33334
Non-Referential,1976,JASA,0.33333
Undefined,1976,JASA,1.33333
Click/Click Train,1977,APP,1
Undefined,1977,APP,2
Percussive,1977,JEP,2
Undefined,1977,JEP,4.999999
Soundscapes,1977,JASA,1
Flat,1978,APP,2.999999995
Percussive,1978,APP,1
Flat,1978,JEP,3.000001
Undefined,1978,JEP,1
Flat,1978,JASA,1
Non-Referential,1978,JASA,1
Undefined,1978,JASA,1
Click/Click Train,1979,APP,3
Flat,1979,APP,2
Undefined,1979,JEP,2.999999
Flat,1979,JASA,1.20833
Undefined,1979,JASA,0.79166
Flat,1980,APP,1.333333336
Undefined,1980,APP,1.666666666
Undefined,1980,JEP,1
Click/Click Train,1980,HR,1.50001
Flat,1980,HR,1
Undefined,1980,HR,1.5
Flat,1980,JASA,4.33335
Undefined,1980,JASA,1.66665
Flat,1981,APP,2
Undefined,1981,APP,2
Flat,1981,JEP,2.999998
Undefined,1981,JEP,2
